,0
花旗,0.025138259
达美航空,0.040273864
达纳,0.041476566
Tableau Software Inc,0.022461815
DCT工业信托,0.045310378
帝亚吉欧,0.021910606
迪尔股份有限公司,0.010506408
发现金融,0.03194888
三倍做空天然气ETN(VelocityShares),0.009803922
奎斯特诊疗,0.024172103
美国达乐公司,0.02675943
霍顿房屋,0.039666798
丹纳赫,0.03617945
道琼斯指数ETF,0.010851871
探索传播,0.078431375
Discovery Communications,0.075414784
DISH Network Corporation,0.031908106
迪士尼,0.041152272
迪克体育用品,0.027746947
Delek US Holdings,0.028768701
Digital Realty Trust Inc,0.026860062
Dollar Tree,0.020479213
唐恩都乐,0.038669758
美国都福集团,0.023736054
澎泉,0.026021337
达美乐比萨,0.0077453335
杜克房地产,0.12771392
达登饭店,0.026232949
DTE能源,0.033647373
杜克能源,0.06464124
三倍做空黄金矿业指数ETF-Direxion,0.006259389
达维塔保健,0.04098361
德文能源,0.045045048
陶氏杜邦,0.036205653
德康医疗,0.020263424
日本股利指数ETF-WisdomTree,0.041050903
道明尼资源,0.04768716
布林克国际,0.040783033
电子艺界,0.014999249
eBay,0.047236655
加拿大能源,0.12437812
艺康集团,0.026301943
新东方,0.0142633
爱迪生联合电气,0.05157298
嘉银通,0.035186492
新兴市场ETF-iShares MSCI,0.05032712
iShares Edge MSCI Min Vol EAFE ETF,0.064184844
欧澳远东指数 ETF-iShares MSCI,0.046317738
艾可菲,0.01906578
爱内珍,0.02962963
Encompass Health Corporation,0.038255546
爱迪生国际,0.043029256
Ellie Mae,0.026888946
雅诗兰黛,0.013439054
iShares JPMorgan USD Emerging Markets Bond ETF,0.10905127
伊士曼化工,0.021949077
艾默生电气,0.04058441
安桥,0.06788866
依欧格资源,0.021872265
Enterprise Products Partners L.P,0.17985608
印度收入指数ETF-WisdomTree,0.094696976
易昆尼克斯,0.006027728
资产住宅公司,0.052056223
EQT corp,0.029761903
三倍做多能源ETF-Direxion,0.04791567
快捷药方,0.041356493
埃塞克斯信托,0.016691707
恩斯克,0.13020834
Eversource Energy,0.07272727
亿创,0.02617116
伊顿,0.035137035
安特吉,0.05104646
Envision Healthcare Holdings,0.01907305
永核伙伴,0.01756543
澳大利亚ETF-iShares MSCI,0.18146181
华美,0.0272257
加拿大ETF-iShares MSCI,0.13793103
德国ETF-iShares MSCI,0.08298755
香港ETF-iShares MSCI,0.12345678
日本ETF-iShares MSCI,0.049627796
台湾ETF-iShares MSCI,0.06920416
墨西哥投资指数ETF-iShares MSCI,0.066755675
韩国ETF-iShares MSCI,0.0333667
巴西ETF-iShares MSCI,0.04618937
爱德华兹,0.016952027
精密科学,0.018248176
爱克斯龙,0.08453084
康捷国际物流,0.051020402
Expedia,0.017319016
Extra Space Storage Inc,0.042480882
欧盟国家ETF-iShares MSCI,0.061690312
Diamondback Energy,0.018737117
美国快克公司,0.04995005
金融指数ETF-Direxion三倍做多罗素金融股,0.017143836
Fortune Brands Home & Security,0.049480457
Facebook,0.012400794
菲亚特-克莱斯特汽车公司,0.053504553
Forest City Enterprises Inc.,0.13586955
第一富金融服务,0.023612753
FTI咨询,0.042283297
麦克莫兰铜金,0.094073385
First Data Corp,0.11990407
联邦快递,0.008080808
SPDR DJ EURO STOXX 50 Fund,0.06968642
第一能源公司,0.120919004
F5网络,0.0153303705
联邦投资,0.08650521
费哲金融服务,0.039432175
繁德信息技术,0.02483855
五三银行,0.05583473
Fitbit Inc.,0.0742942
Five Below,0.02518892
伟创力国际,0.12755102
菲利尔系统,0.039339103
iShares Floating Rate Note Fund,1.4705876
福陆,0.041911148
福斯,0.0735294
FleetCor科技,0.012717792
富乐客,0.020725388
FMC Corp.,0.01650165
Fomento Economico Mexicano S.A.B,0.03548616
Financial Engines,0.050632913
21世纪福克斯公司,0.065616794
21世纪福克斯公司,0.07042254
First Republic Bank San Francisc,0.024673082
FRT信托,0.016725207
第一工业地产,0.09416195
第一太阳能,0.019550342
FMC Technologies Inc,0.087412566
飞塔信息,0.0349406
中国大盘股ETF-iShares,0.04393673
福特汽车,0.29069763
Godaddy Inc.,0.028546961
小型黄金矿业ETF(Market Vectors),0.041476563
黄金矿业ETF(Market Vectors),0.08354219
通用动力,0.009913751
通用电气,0.050454088
General Growth Properties Inc,0.07782101
Goldcorp Inc,0.12210013
吉利德科学,0.026448032
通用磨坊,0.034423407
SPDR黄金ETF,0.044267368
康宁,0.061652284
通用汽车,0.057045065
谷歌A,0.0019906042
谷歌,0.001997523
Genuine Parts Co,0.03849114
Graphic Packaging Holding,0.23041473
环汇有限公司,0.017289072
盖璞,0.058038313
格雷斯事务所,0.053966533
GrubHub Inc,0.011373976
葛兰素史克,0.099206366
高盛,0.007757351
固特异轮胎橡胶公司,0.089766614
杰纳西及怀俄明,0.037636437
美国固安捷,0.007754342
哈里伯顿,0.0432526
孩之宝,0.025131946
杭庭顿控股,0.1267427
哈尼斯品牌服装,0.084602356
HCA控股,0.02913753
HCP房产信托,0.056721494
HD Supply Holdings Inc.,0.07220215
家得宝,0.011584802
Wisdomtree Europe Hedged Equity,0.052438386
赫斯,0.039478883
HollyFrontier,0.026511135
哈特福德金融,0.051921073
Huntington Ingalls Industries,0.0077899816
康宝莱,0.017232468
希尔顿酒店,0.031776294
哈雷戴维森,0.047147576
上巨实业医疗,0.07818608
霍尼韦尔,0.017226528
惠普企业,0.08779631
惠普,0.07604563
赫尔默里奇和佩恩材料,0.025819778
H&R Block Inc,0.085689805
希尔罗控股,0.023730421
哈宾格投资,0.11248594
荷美尔,0.07390983
哈里斯公司,0.0107054915
汇丰,0.03872967
亨利香恩服务,0.034849267
美国豪斯特酒店,0.15015015
好时,0.038624953
华住,0.007867201
Hubbell Incorporated,0.025967274
休曼纳,0.0072077257
亨斯曼材料,0.044762757
债券指数ETF-iShares iBoxx高收益公司债,0.13227504
PIMCO 0-5 Year High YieldCorporate Bond Index ETF,0.107526936
IAC/InterActiveCorp,0.008409014
黄金信托ETF(iShares),0.43859637
生物科技指数ETF-iShares Nasdaq,0.028549647
IBM,0.024009598
洲际交易所,0.034451865
集成设备技术,0.06715916
IDEXX实验室,0.007743534
iShares Core MSCI EAFE ETF,0.047824018
债券指数ETF-iShares Barclays 7-10年,0.08176613
iShares Barclays 3-7 Year Trea,0.12165448
iShares Core MSCI Emerging Marke,0.04315926
IDEX Corp,0.015037594
标普中型股400指数ETF-iShares,0.017152658
标普小型股600指数ETF-iShares,0.03879728
Illumina,0.0076505234
Immunomedics,0.06309148
因塞特医疗,0.011590171
iShares MSCI India Index Fund,0.0837521
印孚瑟斯,0.1633987
Ingredion,0.024248308
英特尔,0.043821212
财捷,0.011668612
Ionis Pharmaceuticals,0.023452157
IPG光电,0.00545405
埃培智,0.14749262
国际纸业,0.04076641
IQVIA,0.022371367
英格索兰,0.028661508
直觉外科公司,0.0038192242
iShares Dow Jones U.S. Aerospace,0.011265067
房屋建筑指数ETF-iShares Dow Jones,0.048732944
艾涛巴西联合银行,0.105384074
伊利诺伊机械,0.01290489
加特纳,0.01755618
标普500价值指数ETF-iShares,0.031230478
标普500指数ETF,0.011837119
标普500成长股指数ETF-iShares,0.018950162
美国景顺集团,0.076511085
罗素1000指数ETF-iShares,0.021431634
罗素1000价值指数ETF-iShares,0.029673593
罗素1000成长指数ETF-iShares,0.020610057
罗素2000指数ETF,0.019083966
罗素2000价值股指数ETF-iShares,0.025297249
罗素2000成长股指数ETF,0.013810248
房地产指数ETF-iShares道琼斯,0.08
JB Hunt运输服务,0.021195421
捷蓝航空,0.12515643
江森自控,0.06814729
金矿指数三倍做空ETF,0.0007996801
京东,0.03292723
Jones Lang LaSalle Inc,0.011803588
强生,0.025608193
债券指数ETF-SPDR Barclays高收益债,0.30573547
瞻博网络,0.12135923
金矿指数三倍做多ETF,0.009044208
摩根大通,0.016583748
诺德斯特龙,0.042337004
银行指数ETF-SPDR KBW,0.044642854
Keysight Technologies Inc,0.035599858
KeyCorp,0.08748907
卡夫亨氏,0.025647601
金科,0.05327651
KKR & Co L.P.,0.082644634
科磊,0.018646277
KLX Inc,0.020454079
金伯利,0.026695136
金德尔摩根,0.123152725
车美仕,0.032797642
Knight Transportation Inc,0.044335086
迈克高仕,0.027770065
可口可乐,0.12239905
吉劳埃地产,0.05434781
区域银行指数ETF-SPDR KBW,0.03510004
克罗格,0.054764513
科尔士百货,0.03065604
堪萨斯南方铁路,0.031796504
家乐氏,0.038834956
Direxion每日三倍做多标普生物,0.011579434
Lazard Class A,0.034223136
Liberty Broadband Corporation,0.02155637
自由全球,0.101112224
L Brands Inc,0.018618505
Leidos Holdings Inc,0.033411298
李尔,0.010506408
礼恩派,0.078492925
莱纳建筑公司,0.03183882
实验美控,0.015681356
雷诺士,0.011339154
Lumentum Holdings Inc.,0.021057066
LivaNova PLC,0.021132715
LKQ Corporation,0.064391494
L-3通信,0.010143016
礼来,0.051229496
洛克希德马丁,0.007016067
林肯国民,0.02114612
Cheniere Energy Inc,0.03673769
美国联合能源,0.0962464
大家来网络,0.01290989
劳氏,0.024301335
Liberty Property Trust,0.07692308
路易斯安那太平洋,0.06693441
债券指数ETF-iShares iBoxx投资级公司债,0.110132135
拉姆研究,0.0066396655
莱帝运输,0.020044098
lululemon athletica,0.019630939
西南航空,0.033670034
金沙集团,0.030156815
利安德巴塞尔,0.021281125
Live Nation Entertainment,0.037064493
洛斯公司,0.06435006
马塞里奇房产,0.027382258
万豪酒店,0.012014899
马斯科,0.062266495
美国美泰公司,0.04694836
万事达,0.010561892
麦当劳,0.0148544265
中国ETF-iShares MSCI,0.026788104
微芯科技,0.019301293
麦克森药物批发,0.013693003
穆迪,0.012970167
默邱利通用,0.04943154
亿滋,0.13020833
梅瑞狄斯,0.036900368
迈克德莫特国际,0.20661156
美敦力,0.055648323
标普中型股400指数ETF-SPDR,0.009469696
Mednax,0.029411761
MercadoLibre,0.0033217075
大都会人寿,0.054975264
曼格纳国际,0.039920155
美高梅,0.060496073
Mohawk Industries Inc,0.009988014
The Middleby Corporation,0.025595086
PIMCO Enhanced Short Maturity St,0.9009066
味好美,0.046533275
新濠博亚娱乐,0.051387463
马丁-玛丽埃塔材料,0.011588827
威达信集团,0.03835826
3M,0.010619094
怪物饮料,0.03582521
Molina Healthcare Inc,0.020916127
陌陌,0.029316915
孟山都,0.025793137
美国美盛,0.07042253
奥驰亚,0.04728133
马拉松石油,0.02086376
MPLX LP,0.09115771
默沙东,0.07401923
马拉松石油,0.116959065
迈威尔科技,0.067476384
Mine Safety Appliances Co,0.023883447
美高森美集成电路,0.027800944
MSCI Inc,0.011870845
微软,0.021408692
麦迪逊花园,0.011258724
摩托罗拉解决方案,0.021815011
摩根士丹利,0.028636886
美国制商银行,0.011370097
梅特勒-托利多,0.002821591
MGIC Investment Corp,0.10214504
Vail Resorts Inc,0.009149131
iShares S&P National AMT-Free Mu,0.1388888
美光科技,0.019600157
美信集成,0.03526093
迈兰制药,0.0551572
梅西百货,0.03878976
美国国家仪器,0.038372982
神经分泌生物科学,0.017513135
诺贝尔能源,0.05711022
挪威邮轮,0.03783579
纳斯达克OMX交易所,0.036913984
新纪元能源,0.019833397
纽曼矿业,0.050581694
New Relic,0.018978935
National Fuel Gas Co,0.08826124
Netflix,0.00407249
新田,0.0408998
耐克,0.051020414
内克塔治疗,0.010380982
尼尔森,0.04115226
Annaly Capital Management,0.3773584
National Retail Properties,0.063011974
诺斯罗普格鲁曼,0.0061804694
诺基亚,0.41840997
华高,0.07552871
ServiceNow,0.009003332
NRG能源,0.047147576
New Residential Investment Corp.,0.14749262
诺福克南方,0.013726836
Insperity,0.019634793
美国网存,0.02192021
网易,0.004265666
NutriSystem Inc,0.025131943
北方信托公司,0.021079259
纽柯钢铁,0.042016808
三倍做多黄金矿业指数ETF-Direxion,0.009019247
如新集团,0.026716538
英伟达,0.0046296297
诺和诺德,0.03837299
NVR Inc,0.00045520347
诺华,0.03885003
纽威,0.0338295
恩智浦,0.021065935
New York Community Bancorp Inc,0.18348621
纽约时报,0.06968641
Oasis Petroleum,0.11441648
欧文斯科宁,0.020016013
Old Dominion Freight Line,0.010980564
标普100指数ETF-iShares,0.026616981
OGE Energy Corp,0.10615711
Omega Healthcare Investors,0.08410429
石油服务ETF,0.07686396
欧尼克（万欧卡）,0.031776294
Universal Display Corporation,0.0064754263
欧林,0.044883307
宏盟集团,0.044923626
ON Semiconductor Corp.,0.056148227
甲骨文,0.06648936
Old Republic International Corp,0.18761726
奥莱利,0.008490406
西方石油,0.05310674
Realty Income Corp,0.044306602
Palo Alto Networks,0.011705491
Paycom Software,0.012186206
沛齐,0.0546448
人联金融,0.18181819
PBF Energy,0.054436583
巴西石油公司,0.10741139
帕卡,0.037216228
太平洋煤气电力,0.03118179
PowerShares Emerging Markets Sov,0.32573292
PDC Energy,0.024102194
公务集团,0.074074075
佩恩国民博彩,0.04812319
百事可乐,0.046168044
Parsley Energy,0.060496066
辉瑞,0.11098781
优先股指数ETF-iShares S&P,0.29154515
信安金融,0.027670171
Proofpoint,0.01405679
Pinnacle Foods Inc.,0.04975125
美国前进保险公司,0.032456998
宝洁,0.048875857
普得集团,0.059523813
汉尼汾,0.0095210895
北极星,0.015535189
Packaging Corp of America,0.014334862
The Children’s Place Retail Sto,0.010890873
普洛斯,0.040420376
菲利普莫里斯,0.02545825
PNC金融,0.012220458
滨特尔,0.044424705
品尼高西方资本品西资本,0.05115089
Post Holdings,0.04863814
PPG工业,0.03437607
宾州电力,0.07733951
Perrigo Co.,0.015644556
保德信金融,0.017905103
公共存储公司,0.01131734
Phillips 66,0.02740477
PTC Inc.,0.01919754
Patterson-UTI Energy,0.076452605
Portola Pharmaceuticals Inc.,0.020665428
PVH Corp,0.012976902
先锋自然资源,0.014126291
普莱克斯,0.017982377
PayPal,0.019853089
高通,0.051894125
QEP Resources Inc.,0.07575758
纳指两倍做空ETF,0.046926323
纳指两倍做多ETF,0.017934002
纳指ETF,0.01452011
Liberty Interactive Corporation,0.096711814
Qorvo,0.02467917
Restaurant Brands International Inc,0.033557046
皇家加勒比邮轮,0.014492755
Radian Group Inc,0.07662835
荷兰皇家壳牌石油 Class A,0.041305248
荷兰皇家壳牌石油 Class B,0.040273864
Regeneron Pharmaceuticals,0.004895241
Regency Centers Corp,0.034387894
Everest Re Group Ltd,0.010244852
地区金融,0.08038585
Reinsurance Group of America,0.013987971
罗伯特哈夫,0.0406009
红帽,0.010682619
Transocean Ltd.,0.12062725
力拓,0.033211555
瑞杰金融,0.018477459
Realogy Holdings,0.07037297
拉夫劳伦,0.018953752
ResMed Inc,0.021128248
RenaissanceRe Holdings Ltd,0.026164312
罗克韦尔自动化,0.010335918
儒博实业,0.008382228
罗斯百货有限公司,0.030330606
RPM International Inc,0.09970091
Range Resources,0.031476233
共和废品处理,0.042444818
RSP Permian Inc,0.049091805
平均加权指数ETF-Rydex S&P,0.03328895
俄罗斯ETF-Market Vectors,0.13351135
雷神,0.009578543
Sabre Corporation,0.08410428
Sage Therapeutics,0.0063107414
SBA Communications Corporation,0.013065062
Signature Bank,0.021528523
星巴克,0.08424601
Schwab U.S. TIPs ETF,0.34482786
嘉信理财,0.030684259
iShares MSCI EAFE Small Cap Inde,0.045269344
道指三倍做空ETF-ProShares,0.02011263
标普500两倍做空ETF,0.023820868
希悦尔,0.092081025
SEI Investments Company,0.027739251
Shutterfly,0.022104334
Sprouts Farmers Market Inc,0.0896861
Seattle Genetics,0.025706943
Sangamo BioSciences,0.04291845
Shopify Inc,0.008126117
Shire plc,0.013063357
iShares Barclays Short Treasury,4.166571
宣伟公司,0.0052548605
债券指数ETF-iShares Barclays 1-3年国,0.49019587
标普500反向ETF,0.07587253
新浪,0.013039509
Sirius XM Holdings Inc.,0.3717472
硅谷银行,0.0046836217
Six Flags Entertainment Corp,0.047438335
斯马克,0.018864367
Spdr Barclays Short Term High Yi,0.4273504
Tanger Factory Outlet Centers In,0.049333986
斯凯奇,0.04347826
斯伦贝谢,0.040716615
US Silica Holdings,0.027144408
SL Green Realty Corp,0.03707823
白银ETF(iShares),0.19960079
Scotts Co Cl A,0.024348672
半导体指数ETF-HOLDRs,0.016523464
SM Energy,0.038714677
施耐宝,0.025853159
新思科技,0.022007043
西诺乌斯金融,0.039872408
三倍做多半导体ETF-Direxion Daily,0.0057703406
iShares费城交易所半导体ETF,0.00922339
美国南方公司,0.08748906
Spectrum Brands Holdings,0.013702385
西蒙地产,0.0125329
Splunk Inc,0.016498927
Spirit AeroSystems Holdings Inc,0.016883336
Direxion Daily S&P 500 Bull 3X,0.029156644
Direxion Daily S&P 500 Bear 3X,0.017927572
标普500三倍做空ETF,0.047938637
标普500指数ETF,0.011981789
纳指三倍做空ETF,0.015064778
Square,0.021682568
消毒循环,0.014259233
Spirit Realty Capital,0.1545595
桑普拉能源,0.039308183
Sarepta Therapeutics,0.014985764
SS&C Technologies Holdings,0.038211692
标普500两倍做多ETF,0.015775358
太阳信托银行,0.026867278
Steel Dynamics,0.03706449
Sterling Bancorp,0.092165895
Stamps.com Inc,0.006562541
道富银行,0.01733703
希捷科技,0.024073182
Constellation Brands Inc,0.011337869
森科能源,0.08097166
0.5倍做空波动率指数短期期货ETF,0.007853609
思佳讯,0.018935809
美国史丹利公司,0.0138121545
美国西南能源,0.08976661
Synchrony Financial,0.064226076
史赛克,0.0152788395
赛门铁克,0.057770085
西思科公司,0.054495905
Sprint,0.16556291
好未来,0.032552082
莫库酒业,0.024467824
债券20+美国债指数ETF-ProShares两倍做空,0.07662836
Texas Capital Bancshares,0.0154321
TransDigm,0.008499064
电话数据,0.13106158
Atlassian Corporation PLC,0.0253614
泰克资源有限公司,0.042900044
泰科电子,0.02043736
天纳克,0.044169612
泰瑞达,0.03232062
梯瓦制药,0.021905804
泰利福,0.0070254323
塔吉特,0.031249996
泰尼特,0.051334698
Thor Industries Inc,0.010493179
蒂芙尼,0.020153165
通胀债券指数ETF-iShares Barclays,0.1547986
The TJX Companies Inc.,0.055865917
债券20+美公债指数ETF-iShares Barcla,0.037792884
赛默飞世尔,0.012382369
T-Mobile US Inc,0.03192848
罗素2000指数三倍做多ETF-Direxion,0.018630648
托尔兄弟,0.03935458
道达尔,0.053333335
Tapestry Inc.,0.049309667
Tempur-Pedic International Inc,0.026253613
纳指三倍做多ETF,0.007163837
LendingTree,0.0031780335
Targa Resources Corp,0.030459944
旅行顾问,0.025316458
Trinity Industries Inc,0.0489716
罗派斯,0.017765146
TransUnion,0.024813898
旅行者财产险集团,0.022346368
Tractor Supply Company,0.021886628
特斯拉,0.004950985
台积电,0.04366812
泰森食品,0.037636425
Total System Services,0.022341376
泰纳瑞斯钢铁,0.07342145
Take-Two Interactive Software,0.011429878
二倍做多VIX波动率指数短期期权ETN,0.0007705585
Twitter,0.046382185
时代华纳,0.03003905
德州仪器,0.016630633
德州公路酒吧,0.038153373
德事隆,0.033692725
泰勒科技,0.009538344
罗素2000指数三倍做空ETF,0.027114969
美国电话电报,0.095877275
安徳玛公司A类股 ,0.028264556
联合大陆航空,0.024408106
联合银行,0.058309034
二倍做多彭博原油ETF,0.058105756
道指三倍做多ETF-ProShares,0.011770938
三倍做多天然气ETN(VelocityShares),0.0021062833
UGI Corp,0.08361205
Universal Health Services Inc Cl,0.0243843
Ulta Salon,0.00835352
联合健康,0.008143986
尤纳姆集团,0.035727046
联合太平洋,0.016043639
联合利华,0.044603035
三倍做多标普500ETF,0.008979078
联合包裹,0.029913258
Urban Outfitters,0.043140642
联合租赁,0.00769823
美国合众银行,0.053390283
US Concrete Inc,0.025519969
Velocitysharestm 3X Long Silver,0.055493895
iShares MSCI USA Minimum Volatil,0.08319467
美国原油ETF,0.20449896
联合技术,0.025438821
1.5倍做多波动率指数短期期货ETF-ProShares,0.0004302315
Marriott Vacations Worldwide,0.010621347
淡水河谷,0.097847365
瓦里安医疗系统,0.01933114
Vanguard Intermediate-Term Corpo,0.15748036
Vanguard Short-Term Corporate Bo,0.35087737
伟世通,0.013852334
EAFE指数ETF-Vanguard MSCI,0.07246377
非美地区ETF-Vanguard FTSE,0.0565931
威富集团,0.03124024
欧洲ETF-Vanguard MSCI,0.052603886
Vanguard Information Technology,0.012495315
维亚康姆,0.042826556
股利增长指数ETF-Vanguard,0.03490401
唯品会,0.09033423
瓦莱罗能源,0.016116036
火神材料,0.027777778
威睿,0.01010918
沃那多房信,0.022232106
不动产信托指数ETF-Vanguard,0.052246604
沃达丰,0.0974659
Vanguard S&P 500 ETF,0.012976904
Voya Financial,0.0330033
Verisk Analytics,0.032959793
威瑞信,0.019584803
福泰制药,0.009747539
凡利亚药品国际,0.03640335
大盘指数ETF-Vanguard MSCI,0.022967385
芬塔公司,0.03430531
Vanguard Value ETF,0.03164557
Vanguard Total World Stock ETF,0.04273504
成长股指数ETF-Vanguard MSCI,0.02078138
埃文斯威市电力,0.043290038
新兴市场ETF-Vanguard MSCI,0.0550055
短期VIX指数期货ETN,0.0035341936
威瑞森,0.078431375
Visa,0.01916443
沃特世,0.011323746
Walgreens Boots Alliance,0.041425023
微博,0.008212877
WellCare Health Plans Inc,0.007714264
Waste Connections Inc,0.03216127
Workday,0.013980148
西部数据,0.014082525
威州能源,0.07047217
Welltower,0.035523977
温迪,0.12578619
富国银行,0.04618937
惠而浦,0.021119328
Westlake Chemical Corp,0.012908222
Whiting Petroleum Corp,0.028835064
Willis Towers Watson Public Limited Company,0.019712204
威廉姆斯,0.055991046
沃尔玛,0.02301496
